Season,Week,SKU,ValueB1,ValueB2,ValueB3,ValueB4,ValueB5,ValueB6,ValueB7,ReturnB1,ReturnB2,ReturnB3,ReturnB4,ReturnB5,ReturnB6,ReturnB7,price,buynum,salary,mean,std
1,1,A,838.3507642,781.0697227,563.2694406,141.1612997,544.653945,969.2153167,884.1959364,0,0,0,0,0,0,0,699,4,2796,696.2104134,304.3116944
1,2,A,789.0947643,526.1680535,805.6458049,408.3562156,293.0225958,932.5551187,834.2945633,0,0,0,0,0,0,0,699,4,2796,655.5910166,244.3750436
1,3,A,899.7968762,919.8785202,948.806674,966.2305334,523.5866258,221.828336,562.6280711,0,0,0,0,0,0,0,899,4,3596,764.1860159,362.0767797
1,4,A,558.0573846,950.9689481,619.2673335,722.5611732,842.7953107,78.57682038,64.09029936,0,0,0,0,0,0,0,599,4,2396,548.0453243,351.0618988
1,5,A,311.0412439,408.6380484,435.7211511,46.9106949,619.9609472,91.40486846,816.5489236,0,310.8500245,0,0,0,0,0,399,4,1596,351.7108217,278.8150737
1,6,A,229.1048215,259.8651152,251.1037254,324.2758491,133.4826936,121.3924167,188.3600429,34.7392849,0,0,0,0,0,0,199,4,796,215.7832826,84.87200172
1,7,A,423.8671564,543.1798106,478.6339973,101.644521,100.7045025,43.13723195,648.9512382,91.51283756,0,0,0,0,0,0,399,4,1596,334.3026369,246.6312839
1,8,A,251.1936761,309.8523276,24.80368383,215.8213777,609.7346372,455.7043437,644.1392855,0,0,0,0,0,0,0,599,2,1198,390.0406656,264.9970196
1,9,A,625.0523832,613.3362149,371.7070888,152.5944785,220.9314972,449.8064808,307.4263672,0,0,0,0,0,0,0,599,2,1198,405.5713572,196.2299013
1,10,A,101.1963519,305.5155526,118.800064,143.4844693,403.7636906,116.4500834,282.478856,0,0,0,46.7977059,0,0,0,299,2,598,225.4815006,122.8794926
1,11,A,469.7777706,63.94926067,417.5154129,81.21543457,567.8270018,51.73395777,381.2916349,0,0,0,0,0,0,0,399,3,1197,275.3364731,234.9206651
1,12,A,108.0935366,377.2199795,391.81138,499.4783405,100.6325862,195.1150904,125.9059864,0,0,0,0,0,0,0,299,3,897,234.4075866,166.02733
1,1,B,601.5674153,391.1803121,283.6197377,784.0833507,184.6575837,698.9959148,674.2178974,0,0,0,0,0,231.829875,0,599,4,2396,514.7292903,277.3189982
1,2,B,231.9269441,831.7540794,720.8191756,908.5373341,793.6668561,612.6747752,784.2294528,0,0,0,0,0,0,0,599,6,3594,651.6375364,257.8949881
1,3,B,284.3842707,222.9946205,7.809798265,410.5553427,223.1691636,368.0971343,34.9845037,0,0,0,0,0,0,0,199,5,995,211.2684272,165.566352
1,4,B,704.683237,458.5693044,661.9200141,389.5920556,892.2165645,257.4413166,750.7873765,0,0,0,0,0,0,0,599,4,2396,587.8871241,224.9124147
1,5,B,631.2687827,875.9223236,747.3988766,602.2835168,516.9899208,103.8230912,876.8754568,0,0,0,0,0,0,0,599,5,2995,639.5953413,287.1540722
1,6,B,20.91453905,313.3637916,408.536212,318.5678288,588.8144053,765.8596422,626.7983912,0,54.11013692,0,0,0,0,0,499,3,1497,434.6935443,248.4726203
1,7,B,122.2088254,286.6407581,107.8928537,490.1445981,382.0598784,649.4140429,555.1696233,0,0,0,0,0,0,0,399,3,1197,368.5784503,229.7093738
1,8,B,536.8634646,461.2203373,119.1463959,84.5459482,607.3786496,395.5830946,437.549236,0,0,0,0,0,0,0,399,4,1596,377.4695895,200.7284924
1,9,B,286.9046433,296.4009021,448.3490354,523.6712527,149.7837672,151.2394655,274.1647638,0,0,0,0,0,0,0,399,2,798,304.3591186,139.9105468
1,10,B,400.3335136,456.1070245,277.0854341,65.7848446,406.0453839,170.9517816,358.3955768,0,0,0,0,0,0,0,399,3,1197,290.7212474,194.8215731
1,11,B,104.5830731,564.8560436,61.58305252,112.2547139,33.40575625,232.5946361,165.8861055,0,0,0,0,0,0,0,499,1,499,175.3365279,220.1107771
1,12,B,73.38188523,49.8198462,361.6975911,306.9601583,83.06476161,341.3162686,114.4127426,0,0,0,0,0,0,0,299,3,897,190.0933219,139.3168646
1,1,C,470.5848651,909.7155602,77.84924845,909.4320547,77.4435906,246.1564844,95.45629008,0,0,0,137.5926936,0,0,0,899,2,1798,448.5303006,385.1424736
1,2,C,600.8188138,466.5179267,263.9696882,724.8083894,74.51031923,653.6193434,936.1218709,0,0,0,367.9473007,0,0,0,599,4,2396,511.1245014,312.4214557
1,3,C,698.4754622,471.1344396,405.6552912,464.6744771,791.0228089,465.4378319,751.9544076,0,0,0,0,0,0,0,599,3,1797,622.3564894,175.2577188
1,4,C,775.9271671,34.97603487,562.5551434,352.3214129,508.8985269,744.5365345,546.4553591,0,0,164.1866224,0,0,0,0,499,5,2495,496.5358033,274.9219879
1,5,C,515.4019273,615.2635878,355.1408009,145.8197087,366.4752778,37.01219696,835.9796044,0,0,0,0,0,0,0,499,3,1497,410.1561577,273.4094061
1,6,C,499.3425747,818.4411778,473.0054442,488.8794835,96.42436764,57.75699487,783.3873048,0,0,0,0,0,0,0,699,2,1398,454.7263107,325.1449558
1,7,C,64.13911395,449.5212673,728.9675693,27.52243089,365.4245141,719.9797908,390.1094418,0,0,0,0,0,0,0,699,2,1398,382.6904768,303.8566676
1,8,C,168.1188736,517.2431161,725.7623501,443.1889044,491.820308,277.8070962,714.8135535,0,0,0,0,0,0,416.2356485,699,2,1398,465.9381556,252.0192078
1,9,C,24.76851125,561.8766324,426.2238014,106.2534192,527.1842553,542.5169552,95.23842649,0,0,0,0,0,0,0,399,4,1596,326.2945716,239.9015626
1,10,C,269.8577778,443.7222599,547.4166957,28.47693693,134.8377534,355.7551671,101.4072762,0,0,55.97125396,0,0,0,0,399,2,798,254.28645,205.2723568
1,11,C,268.2046931,334.1992565,263.9050591,108.9562226,240.5026597,323.422707,507.6767392,0,0,0,0,0,0,0,199,6,1194,292.4096196,120.2746772
1,12,C,174.9469762,472.4378587,305.490247,459.1612683,385.1728637,155.8186641,195.2971001,0,0,0,0,0,0,0,299,4,1196,306.9035683,135.0353551
2,1,A,288.3723505,324.4314998,192.6834371,979.8467071,303.9131574,181.4442794,43.7561552,0,0,0,0,0,0,0,899,1,899,330.6353695,302.1044215
2,2,A,663.1109932,839.583065,103.6666442,296.6096293,849.9501736,892.7350476,942.6863982,0,0,0,0,0,0,0,899,1,899,569.131346,357.9263745
2,3,A,543.0204437,268.9184909,362.1266856,433.9824458,301.0976742,78.99435977,200.4302501,0,0,0,0,0,0,0,299,4,1196,343.8443218,173.2794218
2,4,A,575.6667415,201.3289941,382.8172703,681.9369301,924.4205683,876.8996153,393.0920186,0,0,0,0,96.41906645,0,0,499,4,1996,576.5945912,269.0449156
2,5,A,401.0263218,243.0372427,50.0065989,188.8360554,263.6449817,306.2097605,840.9968953,0,0,0,0,0,0,0,799,1,799,340.7790958,296.42228
2,6,A,316.2697326,582.2648826,349.5037328,386.9390737,624.0257392,123.1937498,427.4406439,0,0,0,0,0,0,0,399,3,1197,428.7728178,197.9986874
2,7,A,786.0212955,113.9631554,273.9966407,518.699804,163.1353507,101.196977,93.10412195,0,0,0,0,0,0,0,499,2,998,314.4969991,282.9840118
2,8,A,210.8543798,358.3173032,636.8081691,204.9882901,366.3140557,369.4088917,496.5484935,0,0,0,0,0,0,0,399,2,798,381.5033271,186.5691332
2,9,A,443.5744395,101.5001312,419.7869022,478.1672917,544.053538,181.4970342,427.6742198,55.49672269,0,0,0,0,0,0,399,5,1995,353.0143775,171.7016965
2,10,A,131.057898,449.574829,150.1384654,57.29382945,388.4656236,337.7359669,155.2790118,0,0,0,0,0,0,0,299,3,897,256.598045,191.582529
2,11,A,58.13654914,448.5445974,450.4318455,509.2934047,405.9252743,277.2764483,206.9038482,0,0,0,0,0,0,0,399,4,1596,336.6445668,162.2757647
2,12,A,402.4214208,424.8595796,262.7655924,513.38061,302.056238,342.216502,408.6714336,0,0,0,0,0,0,0,299,6,1794,379.4816252,84.03609177
2,1,B,179.3179612,155.3588493,153.4270083,547.3180434,411.5123725,52.69987391,247.7322473,0,0,0,0,0,0,0,399,2,798,314.8156343,213.3951593
2,2,B,383.3002049,675.1708224,10.82105458,128.0110058,353.3281639,316.741315,421.4366378,0,294.7443641,0,0,0,234.9918533,0,299,5,1495,355.4995987,238.1426058
2,3,B,764.4836987,776.437439,924.5719721,850.1773498,915.7952126,706.1764248,909.9775011,0,0,0,0,205.4331587,0,0,699,7,4893,845.5316221,97.52212957
2,4,B,338.9315841,803.8860819,633.0498889,774.8334747,423.0137126,905.583824,597.1431247,427.0139294,0,0,0,0,0,0,499,5,2495,612.0926015,211.4956983
2,5,B,759.9298704,724.4784878,27.75563422,662.2569279,349.2095708,438.2949808,99.63004717,0,0,0,0,0,0,0,599,3,1797,437.3650742,296.2756614
2,6,B,813.86672,587.6714171,308.834496,30.96921863,666.2891048,477.615701,454.3941813,0,0,440.6270866,0,0,0,63.09995447,399,5,1995,458.6615703,273.8708677
2,7,B,383.3669092,378.1427767,605.9704485,357.6007293,18.63631017,161.4005004,504.536569,185.1955855,0,0,0,0,0,0,299,5,1495,344.2363205,198.5382773
2,8,B,369.1644855,605.1297422,24.22290639,107.7744219,301.2207098,279.5789403,400.8889695,0,0,0,0,0,0,0,299,4,1196,281.5024532,228.6822347
2,9,B,84.17505591,195.3916519,141.1848937,240.9958594,318.0502818,13.35538388,425.0137433,0,74.15173892,0,0,0,0,0,399,1,399,203.1883064,150.4806341
2,10,B,389.0361925,336.5647841,158.6481222,480.9825355,80.36317154,86.94397764,146.3974425,0,0,0,0,0,0,0,299,3,897,255.4231306,169.5347043
2,11,B,555.3296351,61.30133234,576.5815957,487.6710271,409.4047324,577.6918366,54.93188982,0,0,43.42973607,0,0,441.7983618,0,499,3,1497,372.5401703,251.4898519
2,12,B,449.6835539,73.07339592,333.6945827,22.1773708,45.72976478,77.44689813,357.6129386,0,0,0,0,0,0,0,299,3,897,212.821318,212.1153512
2,1,C,25.96079188,147.0018621,267.9934555,324.5170045,237.6313176,733.9233495,199.3081844,0,0,0,0,0,0,0,699,1,699,283.1174413,243.6594387
2,2,C,992.8875066,70.22606297,697.8999992,495.3529533,585.2128483,71.65181899,561.9730372,0,255.4747823,0,169.4394471,0,0,263.1549277,499,4,1996,462.8840379,350.4236891
2,3,C,276.2150951,615.7366026,642.3743683,834.5404241,494.5711509,436.8058876,391.8543498,0,0,0,130.9788885,0,0,0,599,3,1797,527.4425541,185.341664
2,4,C,209.8356367,691.5522008,414.9315183,959.207979,857.5062467,935.7766603,950.4474488,0,0,0,0,0,0,0,799,4,3196,744.2493278,359.2353035
2,5,C,169.4305516,298.882564,620.4643824,25.73137868,429.0200048,47.89330702,51.37073517,0,0,0,0,0,420.9598002,0,599,1,599,202.2954865,229.3763679
2,6,C,580.2456223,615.4486165,599.2389237,343.1657346,677.6520243,810.0189523,704.9943614,0,0,29.75836983,459.8089802,0,0,0,499,6,2994,607.5327189,174.0709062
2,7,C,347.9313864,618.5397877,217.0305962,545.5092059,759.866498,496.9541053,612.5824867,0,0,0,0,0,0,0,599,3,1797,508.8174767,198.4925345
2,8,C,397.8568127,575.9458393,392.9480552,477.1419417,78.94864761,207.6096595,341.506294,0,450.0682844,0,0,0,0,0,299,5,1495,373.2981556,187.008081
2,9,C,646.322119,24.40078687,402.7028261,33.35128715,447.3691784,47.16061775,84.48298988,0,298.0305151,0,0,0,0,0,399,3,1197,206.4034378,258.9813812
2,10,C,358.079979,272.8564204,319.0243699,117.9664296,96.15202438,252.4663904,313.8894824,0,0,0,0,0,0,0,299,3,897,257.7521244,141.3056241
2,11,C,521.1912178,159.2100893,493.9234463,79.32256869,325.3571734,531.5452076,96.67441592,0,0,0,0,267.4233264,0,0,399,3,1197,315.3177313,203.7184404
2,12,C,421.4060402,11.76487581,229.6939571,391.6651932,412.8355771,153.7730277,279.9529195,0,0,0,0,0,0,0,299,3,897,276.1972572,186.5091814
3,1,A,197.9666735,144.7040653,566.7122913,12.30014356,615.3322428,695.51713,336.8203941,0,0,0,0,0,0,0,499,3,1497,406.9131746,306.8955726
3,2,A,836.4188938,743.9599846,734.2652,45.1866345,593.2478069,979.6115532,576.2579365,0,0,0,0,0,0,0,699,4,2796,667.8884532,361.7748284
3,3,A,941.3081446,862.6255828,450.5730644,691.4334753,545.8281912,953.5883375,960.4134292,0,0,0,0,335.5494975,0,0,899,3,2697,757.1907737,226.6200522
3,4,A,464.5624368,914.6192711,613.2413192,430.3229883,628.2883231,197.4210071,640.6176946,0,372.053728,0,0,0,0,0,599,4,2396,570.7517672,239.7240179
3,5,A,744.4828691,906.8092056,410.6154954,479.6095816,887.2351854,836.7803493,834.3011604,0,0,0,0,0,0,0,799,4,3196,622.4583279,299.5910068
3,6,A,824.8317428,272.538751,612.1241429,473.2558291,740.3238807,165.0466095,106.3231642,0,0,0,0,0,0,0,599,3,1797,456.34916,283.4708617
3,7,A,558.5692593,413.3904739,786.6057863,192.0328096,505.5240799,561.1852544,449.6408618,0,0,0,0,0,0,0,499,4,1996,498.4745594,213.8761024
3,8,A,318.6557777,259.1186712,239.2466474,692.306234,427.8997975,44.42212121,234.6912364,0,0,0,0,0,0,0,399,2,798,330.2748748,217.1605278
3,9,A,95.93376722,88.26318048,58.23894456,298.9618072,109.8236735,369.8556451,495.5921458,0,0,0,0,401.9997685,32.36763387,0,299,2,598,225.8888352,194.8924353
3,10,A,393.1156785,14.7575212,157.3577411,196.1695668,567.7634498,569.2113094,469.8457033,0,0,0,0,0,0,394.8001171,399,3,1197,338.3172814,217.5252602
3,11,A,421.1505243,305.3114853,307.946882,2.984676836,89.0100563,291.4016565,397.1952808,342.328161,0,0,0,0,0,0,299,4,1196,243.1304047,187.5611155
3,12,A,376.8508405,425.430298,397.90196,179.0575603,176.005657,1.402322698,162.8559831,0,0,0,0,0,0,0,299,3,897,229.1194009,172.5649462
3,1,B,902.9136769,332.6650251,694.2833881,658.3860165,765.6348564,319.4284134,535.3599757,0,0,0,0,0,0,0,599,4,2396,595.8055977,261.1038908
3,2,B,846.0135758,257.0101012,518.4674671,263.9814062,274.8631789,865.4237965,904.9877019,0,13.69123889,0,0,0,0,0,799,3,2397,561.9740946,313.6222101
3,3,B,521.4960059,609.675806,474.7674328,954.2838134,880.0182119,82.79152937,755.2114576,0,0,0,0,0,0,0,699,3,2097,629.414489,355.9773705
3,4,B,316.4987451,324.1565255,523.6504743,256.8194553,93.1379054,795.1457203,6.306958707,0,0,0,0,0,0,0,499,2,998,343.1493882,287.7223925
3,5,B,846.1339328,512.711015,826.8657981,848.7047923,696.9985737,455.1412011,645.7173161,0,0,0,0,0,0,0,799,3,2397,697.7592188,175.8266473
3,6,B,138.6732516,625.6298216,356.8393372,754.2203392,344.8283208,743.6091229,720.5718696,283.8946301,0,0,0,0,0,0,599,4,2396,517.0646806,261.4269422
3,7,B,747.8477253,415.3855349,251.9622727,157.1120176,297.6253842,541.6654508,736.8151972,0,0,0,0,0,0,0,699,2,1398,475.1313664,245.6785457
3,8,B,523.9573525,9.086250043,451.2967999,781.8081947,237.6836054,274.9833175,139.5455931,0,0,177.6903561,0,0,0,0,399,3,1197,408.2263829,288.0445488
3,9,B,17.9748843,568.8852665,23.8346727,603.1064382,498.0578441,610.0685397,448.8924279,0,0,18.27325218,0,0,0,0,399,5,1995,395.8314391,262.4344249
3,10,B,492.210517,249.019193,10.13762507,266.9557589,434.9477042,418.8903243,464.2700112,0,0,0,421.7939727,0,0,0,399,4,1596,312.0268537,176.7110436
3,11,B,13.32287586,166.9384195,579.5010531,156.3178985,466.7234017,176.7048199,360.5637494,0,0,0,0,0,0,0,299,3,897,319.36318,226.4378007
3,12,B,466.1931957,337.0205191,228.9670399,251.1339903,272.127208,339.6401336,440.458402,0,0,0,0,0,0,0,199,7,1393,332.6500592,100.5321466
3,1,C,370.8671931,760.2775718,588.6290199,235.9662804,405.1161183,609.7777214,321.9848919,0,0,0,0,0,255.1647164,0,599,2,1198,482.0016164,244.882951
3,2,C,652.2029334,561.8471154,856.7355502,174.9723343,157.3227634,134.6995865,458.4999578,0,0,0,0,0,0,0,499,3,1497,428.0400344,281.7329446
3,3,C,737.583393,99.22400596,944.5697797,802.7207732,151.0579401,972.3035697,612.5883437,0,0,0,0,0,0,0,799,3,2397,593.9752137,433.1795448
3,4,C,665.2057666,729.2968871,814.5974278,640.3955401,948.4569676,479.2089474,529.3404914,0,0,0,0,371.6861725,0,0,499,6,2994,670.301812,185.2452806
3,5,C,44.45550715,750.5116259,192.959195,563.2800691,588.9400202,440.4280988,365.6273701,0,0,0,0,0,0,0,499,3,1497,420.8859838,242.9873906
3,6,C,43.48635128,475.0673421,442.5336316,681.6676127,467.7755286,244.2046087,136.1005302,0,0,0,0,0,0,0,399,4,1596,355.8336579,223.1355483
3,7,C,747.7317922,687.2022419,221.8206734,641.3813961,102.4367065,736.0861192,97.37158704,0,0,0,0,0,241.9975623,0,599,4,2396,462.0043595,305.3919185
3,8,C,597.140125,239.4822288,646.3176061,746.7746154,363.9637073,589.113079,415.0625296,0,0,0,0,0,0,0,399,5,1995,470.879232,198.8645971
3,9,C,429.7158812,244.0696339,324.999147,260.7334519,167.9652896,305.3046405,240.1571427,323.0858921,0,0,0,0,0,0,399,1,399,280.5836016,134.6413585
3,10,C,275.1669196,665.6588564,226.2696147,255.4004344,160.9292609,179.363828,81.99771122,0,0,0,0,0,0,0,599,1,599,278.0511755,226.7093978
3,11,C,425.3465435,99.84767822,520.935075,543.4168068,485.3808706,53.61203175,448.0265511,0,0,0,0,0,0,0,399,5,1995,342.6050803,210.2941989
3,12,C,223.6700669,217.221034,155.9055026,134.2660763,153.4387093,287.9167011,211.1469937,0,0,0,0,0,0,0,199,4,796,191.8738289,83.72617535
4,1,A,417.3724351,98.83456219,413.443087,412.1933708,33.08074698,702.3912738,724.424136,0,193.5368351,0,0,0,0,0,699,2,1398,397.3945295,290.6236486
4,2,A,324.4951808,647.9929379,897.2641654,467.6737273,25.94543553,797.3389907,385.3659445,0,0,0,0,0,0,0,599,3,1797,506.5823403,299.3168717
4,3,A,811.6615456,753.2528454,184.1637393,929.3846267,118.5848687,94.4457173,218.1407529,243.5105517,0,0,0,0,0,0,699,3,2097,444.2334423,368.1079269
4,4,A,797.9865379,137.9219839,882.0594585,406.7800532,285.8543363,742.6394457,537.3264697,364.6853718,0,0,0,0,0,0,699,3,2097,525.9555792,369.2467528
4,5,A,540.0511487,577.5238687,360.0005154,397.3359568,381.4320246,443.8131182,513.8911148,0,0,501.337047,0,0,0,0,299,7,2093,469.4519651,88.34375964
